1,1,A,1,-52,-7,-59,1931,225,2156,-86,7.80,20.23,85.6,156.4,
1,1,B,2,163,18,181,1995,167,2162,-72,13.36,1.82,98.5,19.5,
1,2,A,2,163,18,181,1994,167,2161,-94,13.36,1.82,98.4,19.5,
1,2,B,3,292,28,320,2015,149,2163,-84,12.62,-0.37,93.6,1.0,
1,3,A,3,292,28,321,2015,149,2164,75,12.62,-0.37,93.7,1.0,
1,3,B,4,204,27,231,2023,152,2175,83,11.56,1.61,86.9,16.5,
1,4,A,4,249,33,282,1891,144,2035,83,12.07,-0.08,89.4,3.3,
1,4,B,5,162,22,184,1899,147,2046,91,10.83,2.17,81.6,20.7,
1,5,A,5,162,22,184,1898,147,2045,120,10.82,2.17,81.5,20.7,
1,5,B,6,34,5,39,1909,146,2055,128,8.09,6.15,64.6,51.0,
1,6,A,6,34,5,39,1910,146,2056,113,8.09,6.15,64.6,51.0,
1,6,B,7,-28,-4,-32,1921,147,2068,118,6.69,8.33,56.2,67.6,
1,7,A,7,-28,-4,-32,1923,147,2070,68,6.70,8.34,56.2,67.7,
1,7,B,8,-65,-9,-74,1932,149,2081,72,5.84,9.85,51.3,79.2,
1,8,A,8,-65,-9,-74,1933,149,2082,21,5.84,9.86,51.3,79.2,
1,8,B,9,-77,-11,-88,1942,152,2094,25,5.60,10.58,50.3,84.7,
1,9,A,9,-77,-11,-88,1942,152,2094,-26,5.60,10.58,50.3,84.7,
1,9,B,10,-64,-9,-73,1948,156,2104,-23,6.07,10.39,53.7,83.4,
1,10,A,10,-64,-9,-73,1948,156,2104,-46,6.07,10.39,53.7,83.4,
1,10,B,11,-40,-6,-46,1945,160,2105,-43,6.86,9.70,58.9,78.3,
1,11,A,11,-40,-6,-46,1945,160,2105,-43,6.86,9.70,58.9,78.3,
1,11,B,12,-18,-3,-21,1942,164,2106,-40,7.67,9.02,64.1,73.3,
1,12,A,12,-18,-3,-21,1941,164,2105,-51,7.67,9.02,64.1,73.3,
1,12,B,13,8,1,9,1946,169,2114,-48,8.72,8.09,70.8,66.5,
1,13,A,13,8,1,9,1942,169,2111,-146,8.70,8.07,70.6,66.4,
1,13,B,14,94,15,109,1949,176,2126,-143,12.02,4.28,90.5,38.3,
1,14,A,14,94,15,109,1961,177,2138,210,12.07,4.33,90.9,38.8,
1,14,B,15,45,5,50,1991,154,2145,212,9.69,5.13,72.9,44.7,
1,15,A,15,45,5,51,1983,153,2136,-7,9.67,5.09,72.7,44.3,
1,15,B,16,36,1,37,2050,36,2086,22,2.38,1.19,17.2,10.7,
1,16,A,16,36,1,37,2046,36,2082,6,2.37,1.19,17.1,10.7,
1,16,B,17,-46,-1,-47,2045,35,2080,67,1.03,2.54,11.4,19.5,
1,17,A,17,-46,-1,-47,2053,35,2088,-213,1.03,2.55,11.4,19.6,
1,17,B,18,66,1,68,2054,32,2087,-196,2.36,0.73,16.5,7.1,
1,18,A,18,66,1,68,2054,32,2087,194,2.36,0.73,16.5,7.1,
1,18,B,19,-45,-1,-46,2053,35,2088,210,1.05,2.53,11.5,19.5,
1,19,A,19,-45,-1,-45,2045,35,2080,-69,1.05,2.52,11.5,19.4,
1,19,B,20,42,1,42,2046,36,2082,-8,2.47,1.10,17.5,10.1,
1,20,A,20,42,1,43,2050,36,2086,-9,2.48,1.09,17.6,10.1,
1,20,B,21,30,3,33,1984,151,2135,20,8.89,5.87,68.6,49.8,
1,21,A,21,30,3,33,1991,152,2143,-221,8.91,5.91,68.7,50.1,
1,21,B,22,81,13,94,1960,177,2136,-219,11.60,4.92,88.2,43.2,
1,22,A,22,82,13,94,1950,176,2126,134,11.57,4.87,87.9,42.8,
1,22,B,23,1,0,1,1942,168,2111,137,8.45,8.40,69.1,68.8,
1,23,A,23,1,0,1,1945,169,2114,44,8.47,8.42,69.3,68.9,
1,23,B,24,-24,-4,-27,1943,164,2107,47,7.50,9.25,63.1,75.0,
1,24,A,24,-24,-4,-27,1944,164,2108,41,7.50,9.25,63.1,75.0,
1,24,B,25,-46,-7,-53,1947,160,2107,44,6.68,9.96,57.8,80.2,
